sex,length,diameter,height,rings
I,0.727,0.605,0.188,12
I,0.658,0.531,0.173,17
M,0.594,0.473,0.154,10
I,0.528,0.383,0.161,5
M,0.638,0.534,0.196,11
M,0.225,0.182,0.066,3
F,0.611,0.516,0.17,14
M,0.102,0.083,0.026,7
F,0.699,0.546,0.175,15
I,0.562,0.431,0.165,9
I,0.52,0.383,0.158,7
M,0.134,0.097,0.042,1
M,0.202,0.142,0.062,1
M,0.134,0.102,0.036,1
I,0.299,0.239,0.096,2
F,0.625,0.471,0.158,10
F,0.326,0.272,0.108,6
M,0.305,0.22,0.097,1
F,0.33,0.252,0.09,6
I,0.611,0.485,0.213,13
F,0.607,0.48,0.2,11
F,0.282,0.222,0.088,2
M,0.53,0.41,0.171,5
I,0.263,0.195,0.071,5
M,0.117,0.093,0.031,5
F,0.39,0.292,0.119,3
I,0.249,0.198,0.079,4
F,0.455,0.34,0.114,10
I,0.333,0.253,0.102,12
M,0.331,0.249,0.105,5
F,0.658,0.524,0.196,8
I,0.727,0.559,0.241,10
I,0.139,0.108,0.043,1
M,0.246,0.197,0.081,1
F,0.146,0.106,0.049,1
I,0.69,0.542,0.199,16
I,0.182,0.149,0.051,6
F,0.39,0.302,0.107,4
F,0.681,0.507,0.206,14
M,0.644,0.539,0.19,15
M,0.659,0.551,0.175,11
I,0.317,0.238,0.104,9
M,0.675,0.568,0.215,16
F,0.371,0.308,0.097,10
F,0.753,0.604,0.233,17
M,0.172,0.14,0.056,5
M,0.504,0.377,0.171,9
F,0.473,0.386,0.15,11
F,0.205,0.152,0.051,1
M,0.48,0.375,0.133,7
I,0.663,0.521,0.177,10
I,0.411,0.295,0.122,14
I,0.135,0.103,0.035,1
I,0.541,0.434,0.159,13
F,0.319,0.262,0.102,4
F,0.497,0.355,0.164,6
I,0.428,0.329,0.136,7
M,0.763,0.551,0.259,12
F,0.739,0.561,0.236,12
F,0.417,0.294,0.124,3
F,0.435,0.36,0.121,6
I,0.172,0.142,0.057,6
F,0.489,0.348,0.137,5
M,0.535,0.418,0.186,11
F,0.146,0.107,0.047,1
I,0.651,0.509,0.178,16
I,0.569,0.461,0.183,12
I,0.424,0.332,0.141,7
M,0.316,0.24,0.098,4
F,0.329,0.262,0.084,2
M,0.672,0.56,0.229,13
M,0.563,0.432,0.157,11
I,0.505,0.368,0.161,8
I,0.313,0.264,0.092,9
F,0.793,0.625,0.247,10
F,0.144,0.12,0.05,2
M,0.592,0.488,0.169,15
M,0.402,0.317,0.126,3
I,0.368,0.279,0.112,5
M,0.489,0.404,0.14,6
F,0.208,0.177,0.066,4
M,0.201,0.167,0.063,4
M,0.159,0.127,0.046,1
I,0.751,0.596,0.222,16
F,0.486,0.373,0.139,11
I,0.449,0.363,0.144,12
F,0.388,0.303,0.111,11
I,0.358,0.282,0.124,6
M,0.199,0.162,0.069,9
F,0.462,0.36,0.144,8
M,0.431,0.349,0.149,12
I,0.319,0.226,0.091,8
M,0.428,0.333,0.127,8
F,0.302,0.213,0.104,2
I,0.313,0.256,0.086,3
I,0.136,0.116,0.045,1
I,0.119,0.092,0.031,7
F,0.193,0.143,0.065,6
M,0.619,0.489,0.211,12
F,0.665,0.492,0.213,8
F,0.227,0.177,0.057,12
I,0.754,0.545,0.226,14
F,0.639,0.47,0.188,11
I,0.689,0.488,0.191,12
M,0.137,0.105,0.041,1
I,0.264,0.212,0.076,6
F,0.202,0.167,0.051,6
I,0.321,0.25,0.111,4
M,0.742,0.591,0.257,8
F,0.334,0.248,0.087,9
I,0.509,0.391,0.162,10
M,0.464,0.372,0.162,13
F,0.483,0.387,0.161,11
M,0.58,0.436,0.187,11
F,0.235,0.165,0.061,8
M,0.765,0.609,0.246,13
M,0.16,0.127,0.046,3
M,0.727,0.585,0.2,10
F,0.562,0.4,0.166,16
I,0.732,0.597,0.207,14
M,0.647,0.479,0.166,5
F,0.769,0.569,0.226,21
F,0.786,0.574,0.227,14
I,0.638,0.468,0.201,11
F,0.601,0.43,0.155,9
F,0.113,0.088,0.036,1
M,0.753,0.602,0.208,13
I,0.103,0.083,0.034,1
F,0.405,0.335,0.133,8
M,0.369,0.297,0.121,3
M,0.497,0.418,0.142,8
I,0.798,0.636,0.229,13
F,0.156,0.12,0.051,2
M,0.777,0.621,0.218,14
F,0.728,0.578,0.208,18
I,0.233,0.164,0.059,6
I,0.267,0.202,0.088,3
F,0.777,0.546,0.22,12
F,0.651,0.46,0.171,14
F,0.758,0.63,0.23,10
I,0.506,0.424,0.128,12
F,0.735,0.583,0.202,18
I,0.191,0.139,0.049,1
F,0.528,0.436,0.135,15
M,0.18,0.142,0.056,5
F,0.668,0.566,0.212,14
F,0.185,0.148,0.056,1
M,0.635,0.501,0.18,19
M,0.292,0.237,0.078,4
M,0.748,0.528,0.194,16
I,0.529,0.432,0.133,10
M,0.748,0.603,0.232,14
F,0.391,0.321,0.128,7
I,0.29,0.222,0.079,3
M,0.527,0.372,0.141,3
I,0.679,0.506,0.198,13
I,0.265,0.19,0.08,7
I,0.455,0.35,0.142,10
M,0.293,0.214,0.097,2
F,0.448,0.325,0.153,1
M,0.551,0.41,0.162,8
F,0.13,0.106,0.045,7
M,0.211,0.148,0.064,6
F,0.515,0.386,0.139,11
I,0.729,0.535,0.19,14
F,0.709,0.536,0.193,16
F,0.51,0.361,0.15,11
M,0.371,0.267,0.119,11
I,0.351,0.26,0.1,10
F,0.196,0.162,0.058,4
M,0.632,0.463,0.177,15
I,0.734,0.577,0.224,19
M,0.161,0.133,0.048,7
F,0.295,0.239,0.096,5
M,0.273,0.209,0.074,11
I,0.729,0.556,0.185,11
F,0.613,0.476,0.179,7
I,0.675,0.518,0.185,16
I,0.627,0.504,0.182,13
M,0.553,0.395,0.165,13
F,0.213,0.164,0.065,1
F,0.64,0.532,0.186,8
F,0.539,0.434,0.135,8
I,0.333,0.235,0.097,4
F,0.589,0.466,0.181,12
I,0.717,0.581,0.183,18
I,0.355,0.251,0.102,6
F,0.223,0.175,0.057,4
I,0.642,0.462,0.182,8
I,0.757,0.596,0.262,14
M,0.627,0.511,0.177,15
F,0.294,0.209,0.084,3
F,0.451,0.372,0.134,3
F,0.416,0.314,0.132,7
I,0.666,0.56,0.171,15
M,0.373,0.271,0.129,5
M,0.177,0.131,0.056,1
I,0.766,0.539,0.224,15
I,0.479,0.345,0.136,5
F,0.232,0.163,0.077,6
I,0.551,0.42,0.157,9
I,0.566,0.441,0.173,9
F,0.313,0.225,0.103,7
F,0.36,0.268,0.121,9
M,0.347,0.267,0.093,11
F,0.228,0.165,0.073,2
I,0.656,0.475,0.172,17
F,0.282,0.205,0.086,5
M,0.566,0.479,0.15,3
I,0.311,0.261,0.09,8
F,0.638,0.537,0.219,17
I,0.783,0.587,0.251,22
F,0.727,0.615,0.237,18
I,0.61,0.511,0.173,12
M,0.612,0.511,0.162,9
F,0.532,0.39,0.152,9
F,0.139,0.11,0.043,3
F,0.237,0.169,0.079,11
I,0.57,0.407,0.172,12
I,0.458,0.325,0.145,11
F,0.204,0.169,0.058,2
F,0.316,0.242,0.097,8
M,0.609,0.467,0.213,13
I,0.779,0.595,0.265,13
M,0.685,0.541,0.181,10
I,0.791,0.561,0.274,24
F,0.162,0.123,0.055,1
