median_income,house_age,avg_rooms,avg_bedrooms,population,median_house_value
9.77,2.3,4.2,1.1,2236,493100
1.76,22.5,2.2,1.0,1566,83927
0.88,11.1,7.2,1.9,739,60537
0.59,42.1,7.6,1.4,551,90363
14.38,18.2,2.7,0.7,2558,500001
11.08,28.3,9.8,1.4,1701,500001
12.53,32.5,8.9,1.9,2143,500001
4.7,5.1,3.9,0.8,906,263272
9.72,19.6,5.0,1.0,874,500001
9.33,9.7,7.8,0.9,1200,500001
14.85,33.6,6.5,2.2,2544,500001
0.97,17.1,4.1,1.0,2834,71837
13.21,17.0,7.2,1.5,2752,500001
4.08,29.6,4.1,2.0,2704,257956
6.29,12.2,10.0,1.8,364,385872
9.6,41.4,5.4,0.7,1207,500001
14.94,28.0,9.8,2.7,133,500001
8.29,14.6,7.1,0.8,1361,434798
7.08,49.6,9.0,1.2,1552,467768
13.12,16.2,7.1,2.0,543,500001
11.56,28.5,8.2,1.8,102,500001
13.97,45.8,8.7,1.3,268,500001
13.23,49.3,2.7,1.7,301,500001
2.36,25.2,6.4,1.2,2630,141312
6.64,11.8,6.3,2.3,683,350460
9.92,23.3,6.1,0.8,752,500001
5.4,31.0,3.8,1.1,306,310521
13.63,44.8,2.6,1.1,2040,500001
3.61,7.7,9.5,1.9,1471,243325
3.26,5.9,5.4,1.6,1454,160782
11.07,35.3,9.9,0.7,1268,500001
4.11,10.7,5.6,1.6,908,277602
4.12,48.1,5.5,2.7,1696,354213
12.62,50.4,9.4,2.6,582,500001
7.54,11.9,5.2,0.6,1199,430667
11.87,24.2,5.4,2.9,2987,500001
8.56,37.6,3.2,1.2,2909,459792
11.35,3.9,6.7,1.8,2573,500001
2.78,50.0,2.6,1.0,1826,195711
2.24,46.4,4.0,2.0,1896,165112
6.58,30.8,6.2,2.8,692,387503
6.24,35.3,4.4,1.3,2280,354762
1.55,24.4,10.0,3.0,312,155507
14.03,45.9,9.0,1.4,557,500001
12.59,36.9,6.9,3.0,1997,500001
4.84,34.8,9.5,0.8,435,326251
2.05,29.2,4.2,2.0,2181,160863
4.33,25.9,9.2,2.6,368,315686
6.64,15.1,2.0,2.4,1948,354877
8.5,22.8,2.1,0.7,2661,490960
13.61,28.8,8.7,2.0,529,500001
13.54,41.6,8.9,2.7,709,500001
4.12,6.2,8.2,2.7,1278,244941
13.98,45.1,9.8,2.5,2656,500001
0.86,38.6,4.7,2.8,2426,128794
4.37,41.2,2.9,2.7,2590,246399
3.73,42.6,5.7,1.3,2407,257937
3.3,17.7,8.9,2.9,909,231668
9.8,21.4,9.8,1.8,2824,500001
3.09,50.1,4.1,0.8,1360,260348
11.06,17.0,6.8,1.8,1217,500001
10.78,1.1,9.4,1.8,2186,500001
11.26,35.2,4.9,0.7,2026,500001
12.8,37.7,4.4,1.3,1284,500001
6.33,16.1,3.0,1.6,2827,328868
9.42,16.3,6.4,0.5,932,480756
6.73,30.6,7.2,1.7,1382,408556
13.57,41.6,3.4,0.7,1595,500001
9.68,18.1,8.5,2.4,2051,500001
0.85,13.5,5.8,2.6,311,98360
6.51,33.1,3.6,2.2,1534,377469
0.58,39.3,8.2,0.8,1333,138320
3.05,49.9,6.1,0.6,823,245886
12.12,35.0,9.9,2.0,2855,500001
13.43,32.2,7.8,1.8,2509,500001
11.28,25.2,4.1,1.1,1949,500001
11.6,27.6,7.0,1.2,325,500001
5.14,28.5,3.1,1.1,2112,316399
10.74,4.3,5.3,1.9,1306,500001
13.62,30.8,7.6,2.6,2320,500001
6.02,1.3,4.8,2.4,2575,346104
11.34,28.9,6.8,1.1,736,500001
6.82,2.5,4.7,2.2,1273,378329
2.35,32.7,2.2,1.5,1737,180670
0.89,33.8,3.1,1.7,246,83855
5.24,39.8,5.0,2.4,2513,336450
4.16,5.2,2.2,1.8,3000,206818
11.83,34.2,8.0,2.9,678,500001
0.8,8.8,3.0,2.2,1736,69796
11.62,9.6,6.9,2.4,432,500001
12.38,50.2,2.9,0.6,1005,500001
6.25,37.5,2.6,2.2,1919,317848
1.98,40.4,8.8,2.0,451,218049
5.53,22.8,5.0,1.8,1090,320852
12.82,42.9,2.8,2.9,1943,500001
6.81,38.4,9.7,1.2,2444,400175
8.3,25.7,5.5,2.3,878,490741
1.76,46.0,4.0,1.7,1870,123292
6.0,2.5,8.8,1.0,715,351670
13.26,36.8,4.2,0.5,2849,500001
1.74,37.7,5.9,2.4,2103,140198
12.0,5.7,3.8,2.2,988,500001
8.93,25.1,6.2,1.6,2263,487855
4.43,13.8,3.0,1.0,447,277291
8.27,39.9,3.5,1.0,1504,462064
8.11,15.4,2.8,1.0,760,380702
3.1,1.7,6.3,1.2,2925,158979
2.33,45.3,5.9,2.7,1765,181305
7.31,23.5,3.5,0.6,2829,369349
6.31,4.8,7.0,0.6,533,360653
8.66,16.5,10.0,0.8,2317,471540
3.77,27.7,5.6,1.6,2594,222383
14.86,16.6,7.0,2.0,2246,500001
3.56,34.7,3.3,0.9,318,224543
0.54,24.0,6.8,1.2,771,76342
7.08,36.1,9.4,2.5,1913,407155
10.09,48.6,5.4,1.9,1978,500001
1.54,9.5,4.5,2.4,1751,88162
4.68,7.3,7.5,2.2,2834,255794
1.67,3.0,5.5,1.3,826,113565
1.82,50.1,8.7,1.9,2857,214582
4.41,3.1,8.1,1.7,1989,263618
13.78,10.3,6.7,2.1,1526,500001
5.33,35.2,8.9,1.3,2112,356167
4.68,49.2,8.5,1.9,1419,318735
14.57,21.6,6.1,3.0,2007,500001
8.37,22.1,3.5,1.4,2294,434129
3.45,29.0,9.4,1.6,2125,224743
2.26,50.6,6.9,1.1,559,173948
1.85,51.6,9.3,1.7,441,182737
12.57,26.4,7.7,1.8,893,500001
4.03,29.1,5.1,2.8,1574,207885
13.25,45.1,4.2,2.5,1303,500001
12.4,15.4,4.4,2.0,2997,500001
7.6,8.6,6.3,1.4,1701,398879
5.17,10.6,7.6,1.9,777,300868
11.75,3.2,8.0,2.3,2453,500001
12.4,51.0,6.0,0.6,1557,500001
9.06,45.4,9.0,1.6,1625,500001
6.44,34.4,3.2,1.7,2911,381363
5.41,36.3,7.2,2.6,2572,355181
5.09,37.7,8.1,2.7,204,317490
1.49,33.2,9.4,3.0,2266,146299
9.69,45.5,5.5,2.2,2720,500001
1.17,41.6,4.3,1.4,522,96337
11.99,9.7,2.6,2.7,1897,500001
3.99,47.6,3.1,1.7,837,262789
