cement,water,age,compressive_strength
205.5,170.2,90,75.5
468.2,140.0,90,112.2
287.7,139.3,56,92.4
162.2,197.8,56,65.6
412.8,164.6,28,91.9
201.9,185.9,90,73.9
159.0,152.2,7,51.1
407.8,129.9,7,80.3
139.9,131.0,3,52.8
305.4,150.6,14,80.6
493.0,191.9,90,100.3
456.3,236.8,28,76.7
442.0,232.2,28,80.7
351.7,149.3,7,76.1
241.0,196.4,56,69.4
171.3,161.4,3,40.7
297.6,142.4,7,80.7
399.4,152.5,56,92.9
281.8,141.3,14,78.1
145.2,142.9,90,78.7
228.2,225.4,56,71.6
483.2,238.1,90,92.3
394.4,210.0,7,68.1
220.8,234.0,3,40.2
221.9,229.3,28,53.1
232.2,155.2,3,52.8
421.8,121.3,14,90.6
303.0,165.4,56,84.3
406.4,160.7,90,99.8
380.8,143.6,28,93.9
353.9,147.2,56,95.9
207.2,178.8,28,63.1
289.7,223.3,7,59.3
107.0,130.5,28,64.5
239.7,130.9,56,92.9
329.1,240.6,7,59.7
337.0,135.2,14,94.1
407.4,148.4,7,74.8
336.6,161.1,90,94.9
274.4,180.2,90,81.6
424.9,203.9,7,74.9
365.6,244.0,3,41.6
272.6,129.9,90,95.9
358.5,191.7,3,64.5
177.8,214.1,7,39.7
116.2,155.4,56,63.8
440.7,149.2,7,90.3
170.7,139.7,7,61.4
412.8,168.4,14,73.0
145.1,168.4,7,49.5
447.9,190.6,56,91.9
457.5,133.5,56,109.3
143.9,162.5,56,67.3
495.5,217.5,90,99.9
100.4,223.3,7,29.5
473.0,177.5,56,99.5
292.2,228.1,56,70.0
255.1,172.2,28,81.6
399.6,220.8,3,50.2
187.1,205.6,3,34.0
344.2,212.9,28,76.3
177.3,122.2,90,85.4
125.6,157.0,56,71.3
489.0,156.6,28,104.4
475.1,239.2,56,91.0
144.8,181.2,56,60.8
278.6,227.3,28,60.0
345.2,194.8,56,82.3
138.6,140.9,90,83.2
108.0,148.5,28,72.2
268.9,122.7,90,97.1
125.0,165.2,7,41.1
399.2,190.1,7,68.2
138.5,161.8,3,41.6
230.7,143.3,7,72.0
319.9,120.2,14,77.3
321.3,141.0,28,91.0
364.0,193.4,56,82.2
125.0,178.6,56,66.1
283.0,176.7,7,59.6
443.1,143.1,56,109.3
448.8,199.2,28,88.2
369.3,234.8,7,60.7
460.1,130.8,14,101.8
354.0,234.8,56,85.8
407.2,143.0,28,91.1
141.9,176.4,14,57.6
489.3,144.7,90,114.5
302.3,140.4,7,71.0
369.2,230.4,90,83.0
488.3,165.4,7,78.6
442.5,188.7,14,84.5
383.3,219.4,90,101.7
292.9,170.1,90,91.8
117.4,218.2,90,58.6
102.5,236.9,56,57.9
309.1,231.3,14,61.1
151.0,198.9,28,60.6
146.7,239.4,90,72.0
267.6,230.9,90,84.1
198.8,210.1,14,52.6
370.2,248.8,90,79.6
160.3,170.8,14,55.2
313.5,219.3,56,69.0
448.0,194.7,3,70.4
