v1,v2,v3,amount,is_fraud
0.4984,0.9866,0.2355,323.06,0
1.0557,-1.2148,-0.521,109.42,0
0.6228,0.1158,1.3983,419.09,0
2.0629,-0.5214,0.322,107.84,0
-0.9118,1.7364,0.7565,214.12,0
0.3876,0.7065,-0.536,72.79,0
0.4816,-1.9078,-0.8508,482.11,0
-0.2194,1.156,1.1154,134.12,0
-0.5931,0.0257,-0.5898,372.09,1
0.469,0.8709,-0.9824,166.98,0
-0.1071,-0.486,1.0658,249.56,0
-0.8454,1.3009,0.022,291.55,0
-0.7232,1.294,-1.3914,81.88,0
-0.9571,0.3496,1.5295,359.66,0
2.3021,-0.7283,-0.5255,70.0,0
-0.0628,0.5297,-0.0939,337.94,0
-0.05,-0.3304,0.1045,364.87,0
0.2566,-1.8205,0.1267,380.74,0
-1.9957,-0.0434,-1.4047,233.34,0
0.5729,1.072,-1.0257,361.3,0
-2.2173,-0.4955,0.6813,119.16,0
-2.1569,0.181,0.047,406.99,1
0.0853,0.9871,1.1347,489.02,0
0.6426,-0.8944,0.2283,161.05,0
0.9019,-0.9365,0.3993,477.09,0
-0.1924,1.1334,1.9865,321.81,0
-0.2266,-0.3778,0.2546,374.89,0
0.7645,1.7449,0.6492,256.18,0
0.4149,-0.0204,-0.4554,288.7,0
-1.0855,-1.1344,0.8482,58.47,0
1.1033,1.6774,2.2544,58.66,0
-1.1668,0.3162,0.3804,376.58,0
0.7328,0.6538,1.7515,337.05,0
1.3499,0.5298,0.1077,309.14,0
-1.055,-0.1955,0.019,371.55,0
2.2788,-0.1769,0.6294,107.83,0
0.6255,0.0528,-0.8647,104.99,0
-1.2001,1.0339,1.4161,260.98,0
1.2655,0.1818,-0.9629,45.96,0
0.749,-0.7888,-0.4109,430.06,0
-0.1319,0.1309,0.2914,298.57,0
-0.5879,-0.5751,0.7918,497.29,0
-0.0044,-0.0495,1.438,405.42,0
-0.6689,0.2416,-1.3012,173.27,0
0.1456,1.09,0.4088,388.41,0
0.5062,-0.9594,-0.244,275.3,0
0.4409,-0.6372,1.4683,66.04,0
0.7475,-0.3305,0.0378,71.28,0
-1.2662,0.1655,-0.1053,307.51,0
0.594,-0.0751,-0.4157,222.11,0
-0.4497,0.2762,0.7845,295.82,0
-0.9482,-1.0446,2.2406,54.41,0
-0.0834,-0.0908,-0.6057,439.42,0
-1.9131,0.9447,0.1005,30.27,0
-1.5722,-0.6737,-1.0007,478.34,0
0.3149,-0.9197,0.9685,311.83,0
-0.4207,1.8795,0.717,174.67,0
-0.2542,0.4103,-1.0346,69.29,1
0.4677,0.1831,0.1072,23.02,0
-0.5002,-0.0862,-1.0279,403.24,0
-0.3921,2.3629,-1.0475,225.21,0
0.0726,1.3183,0.9257,7.55,0
-1.6817,-1.1084,0.7125,54.59,0
0.5759,-1.0235,-0.0538,43.13,0
-0.2091,-0.8739,1.7961,27.89,0
-0.357,1.1154,-0.3325,485.01,0
0.4984,0.435,1.0623,200.91,0
0.1168,-0.4857,-0.9738,429.84,0
-0.6764,0.0163,-0.8353,298.48,0
-0.3384,0.2308,-1.347,402.02,0
2.0934,-0.848,1.1063,405.12,0
-1.7844,-0.2198,0.29,75.31,0
0.1188,-0.1556,0.7355,69.97,0
0.2784,1.3704,-0.3056,50.98,0
0.8097,0.7273,-1.1179,34.84,0
0.101,-0.0048,-0.7807,19.64,0
-1.7554,-0.5953,-1.4319,384.37,0
-0.5976,-0.7772,-0.3909,348.52,0
-0.25,0.5615,-0.0475,354.16,0
1.3693,-0.8167,-1.0748,295.23,0
0.2551,-1.2006,-0.7109,456.38,0
0.0321,-0.4695,0.1893,232.16,0
-0.0003,-0.464,2.0898,301.89,0
-1.362,1.1012,-0.3384,242.99,0
0.8251,-1.4805,-0.6349,124.87,0
0.2658,-0.6948,-0.4469,258.18,0
-1.3937,-1.161,1.6973,57.86,0
0.7599,1.4439,-2.0375,441.83,0
1.0548,0.3499,1.5887,107.96,0
-1.0932,0.7959,-1.2364,205.96,0
-0.4135,-0.6556,1.2625,315.78,0
-1.7465,0.8305,0.482,486.65,0
-1.1811,-0.0964,1.3245,307.99,0
-0.0579,0.9384,0.5431,448.83,0
-1.3307,-0.0305,-0.3639,418.3,0
1.4262,1.136,0.5399,410.35,0
-0.5776,-0.1295,1.7632,130.76,0
1.6609,-0.0574,-0.7264,261.45,0
-1.6294,1.6542,-0.3462,486.29,0
-0.0868,-0.7667,0.4291,270.51,0
0.2762,0.5852,-0.7777,414.58,0
-0.3275,-1.1495,-2.0296,382.54,0
0.3251,-0.7245,0.7556,250.34,0
1.2841,-1.6262,0.3812,252.84,0
1.0311,-0.4835,-0.5199,499.53,0
-0.5927,1.6,1.4635,115.44,0
0.8027,0.6855,-1.2662,290.91,0
0.0449,-0.8336,-1.6157,244.27,0
-0.1586,-0.9213,0.2014,112.84,0
-1.0921,-0.4853,-0.8832,402.6,0
-0.8279,-0.6401,-1.2134,23.54,0
-1.4603,-0.4337,-2.3013,273.85,0
-0.5721,-0.0421,-0.5408,133.56,0
0.1988,1.2497,1.9639,193.58,0
-0.5481,-0.586,-0.0251,122.34,0
-0.0076,0.1409,-0.7736,480.12,0
0.04,0.2869,-2.6666,348.65,0
1.1359,1.2203,-0.0959,76.52,0
1.8739,0.2613,0.3318,35.01,0
0.2082,2.5498,-1.9508,57.36,0
1.425,-0.1154,0.9614,330.93,0
1.5855,0.1235,1.1287,204.28,0
0.2934,0.6969,0.767,1.21,0
-0.4321,0.2886,-1.5254,200.9,0
1.6034,-0.4533,-0.7795,180.8,0
0.0216,-1.1912,-1.6458,215.03,0
0.2435,-1.0088,0.6342,137.53,0
-0.9315,0.3339,-0.1537,448.39,0
-1.0814,-0.7304,-0.2799,350.4,0
-0.0844,1.0118,0.0181,453.87,0
-0.1457,1.0717,-1.662,73.58,0
1.0013,-0.2953,0.5668,114.01,0
-0.0987,1.0427,-0.7193,188.89,0
-1.185,-1.3449,-0.7589,349.74,0
-1.2931,-0.0547,-0.7544,156.5,0
-1.8605,1.7883,-0.2385,294.59,0
0.8956,1.0129,0.8155,62.93,0
1.7496,0.052,2.2979,497.35,0
0.8584,0.7415,-1.4264,23.2,0
0.7555,0.0216,-1.2728,298.41,0
0.0248,2.729,-0.2754,211.2,0
-0.3673,-0.7915,-0.5712,164.5,1
-0.7255,-1.083,0.2953,13.36,0
-0.789,2.1531,0.6544,125.86,0
-0.3241,2.1358,0.8892,341.52,0
-1.0536,-0.4969,0.9475,205.82,0
0.7899,-0.3633,0.7684,410.28,0
-0.8697,1.0762,0.1996,269.22,0
0.6376,-0.1435,-1.3686,384.23,0
-0.0553,0.1554,-0.7569,122.02,0
0.9647,1.0378,0.1159,191.25,0
-0.8984,-0.9148,-1.007,55.09,0
2.3144,0.1333,-1.7556,462.75,0
0.8876,0.7114,1.5379,76.93,0
-1.4487,0.1982,-0.1997,482.2,0
0.4986,0.3997,0.0704,34.6,0
1.8388,1.2045,1.0969,491.76,0
-1.4747,-2.028,-2.4332,398.64,1
-0.4661,-0.1099,-2.4042,452.31,0
-1.5007,-0.6157,-0.2386,247.77,0
0.6967,-0.6341,1.9344,289.34,0
-0.8995,1.0533,1.1934,137.33,0
-0.6777,-0.8046,0.2917,426.52,0
0.3873,-0.0126,1.6307,102.74,0
-1.3975,0.6567,-0.2578,171.73,0
-1.9898,-1.0901,1.4934,231.14,0
0.5871,-0.199,1.0359,491.72,0
1.0746,-0.3439,0.6824,117.05,0
-0.0291,0.2511,0.7204,489.99,0
-0.2615,-1.6062,0.3355,143.32,0
0.4866,0.2545,0.8112,422.91,0
2.1904,-1.6563,-0.3951,143.45,0
1.5123,-0.5978,1.0887,246.14,0
-0.1147,0.4009,1.4225,199.67,0
0.306,0.5276,0.678,339.58,0
1.765,0.905,-1.9343,342.86,0
-1.7326,-0.4787,1.5967,7.3,0
0.7182,-0.0491,1.5832,413.52,0
2.7755,-0.0989,-0.57,193.92,0
1.1187,0.7043,-0.5549,134.12,0
2.1956,0.5018,-0.4383,153.49,0
-1.3491,0.7505,-0.7736,35.49,0
0.9603,0.4297,0.8066,257.58,0
-0.0564,-0.4947,0.6021,335.34,0
0.8686,-1.8627,-0.4283,266.34,0
-1.0515,0.1018,-0.4651,225.72,0
1.3606,-0.8593,-0.6157,325.8,0
1.2979,1.1617,-0.2956,268.78,0
-1.0522,0.916,-2.617,269.89,0
-1.4233,1.2739,-1.126,388.43,0
1.1408,-0.1058,-0.5539,153.73,0
-1.8241,-0.3213,-0.6944,420.03,0
1.8964,-2.239,-2.4905,405.3,0
-0.6469,0.4552,0.4984,88.34,0
-1.1536,0.3786,0.1306,113.97,0
1.7683,-0.7675,-1.0033,57.25,0
1.1382,1.7237,0.1527,460.06,0
0.5959,-0.3042,-1.2394,462.15,0
0.4792,0.1385,0.2465,73.71,1
0.5707,-1.1017,-0.1534,32.45,0
1.8851,0.3572,-1.6506,23.61,0
-1.1502,-0.1116,-0.4971,338.69,0
