battery_kwh,weight_kg,temp_c,speed_kmh,range_km
96.3,2450,22.9,89,423.1
80.1,1567,6.9,86,311.7
48.5,2483,30.9,64,170.6
43.5,2443,14.0,115,137.3
45.9,2032,-5.5,81,142.5
82.1,2034,9.7,109,327.8
78.6,1789,6.0,97,318.8
77.6,1913,11.8,50,328.0
69.4,2003,-4.8,111,232.2
69.9,2305,28.5,47,291.3
71.7,1542,-0.6,51,284.5
94.0,2055,-1.3,80,392.8
84.4,2047,-8.6,78,311.5
72.3,2343,31.3,95,287.7
84.3,2036,32.5,105,331.6
94.6,1601,12.9,63,437.1
93.5,2229,6.0,66,380.1
76.8,1546,36.1,66,319.5
94.0,1619,36.2,40,423.3
94.9,1838,39.2,89,382.3
89.6,1880,35.9,91,374.6
54.8,2184,2.9,94,187.5
80.8,2227,33.2,120,306.4
79.2,2435,3.6,41,342.3
65.0,1923,8.9,64,267.9
76.0,2141,24.6,45,321.9
81.8,1959,-3.6,68,324.7
49.5,2310,14.4,63,191.3
72.2,1671,37.2,72,304.8
81.7,1791,16.8,76,357.1
91.3,1767,-4.6,55,357.0
52.1,1588,17.7,103,224.0
52.0,2030,39.8,100,163.0
42.3,1897,-0.8,48,136.2
54.5,2130,8.5,58,191.5
79.8,2015,28.3,64,347.0
86.1,2242,5.9,112,347.6
91.6,1756,36.1,84,384.0
67.7,2423,22.2,90,259.0
70.3,1730,-0.8,64,290.7
60.2,2238,11.9,96,236.0
71.7,2070,-1.9,110,261.5
97.9,1558,-4.4,48,402.7
77.1,1673,26.2,81,340.0
62.2,1646,35.1,69,246.0
43.5,1896,28.4,55,164.3
91.4,2280,21.4,112,391.1
89.4,1987,36.9,89,364.2
56.9,2130,9.3,70,211.9
60.7,2151,12.7,59,233.6
67.3,2400,8.0,58,261.4
97.8,1897,40.0,60,426.8
62.1,1521,11.6,78,264.7
82.6,2054,32.6,91,346.1
47.5,2141,7.6,91,151.4
84.0,1954,37.6,99,339.0
61.8,1833,23.3,57,265.5
53.0,1695,18.4,119,203.5
61.8,1974,17.4,92,248.7
63.6,1981,-4.6,97,224.1
58.0,2352,37.8,119,184.0
60.3,2411,-2.2,89,203.7
96.2,1942,-1.0,96,396.1
74.0,1676,3.7,112,289.3
86.2,2156,10.1,65,371.7
54.7,2256,-3.5,102,175.9
59.0,2455,28.2,107,213.5
80.6,2305,-6.7,42,288.6
40.5,2382,33.5,82,126.5
94.1,1707,27.2,67,412.9
58.5,1567,8.1,80,215.1
68.5,2220,-1.2,78,240.9
46.1,2075,-2.0,59,147.9
94.6,1919,-2.1,110,379.7
77.7,2216,39.2,71,317.1
48.8,1955,-5.1,45,157.0
48.1,1890,13.6,101,178.6
81.3,2337,8.1,96,326.9
75.1,1686,12.4,42,355.8
74.0,2406,7.0,50,294.4
93.2,1570,-1.1,119,371.6
49.0,2457,29.5,65,184.9
97.7,1828,4.6,50,406.6
69.7,2136,34.6,93,289.4
99.5,1873,32.6,64,405.4
94.3,1524,14.5,61,427.3
43.1,1744,25.0,73,156.6
42.4,2267,39.8,98,119.0
79.6,1840,17.6,56,373.5
40.6,2087,-9.0,88,78.4
52.0,1981,9.0,44,200.5
62.5,1875,30.2,94,236.9
64.4,1850,-3.4,84,228.6
