word_freq_free,word_freq_money,word_freq_click,capital_run_length,is_spam
-0.174,0.398,0.339,472,1
0.038,0.423,-0.551,935,1
0.018,0.165,0.405,121,0
0.691,0.044,-0.073,27,1
0.095,-0.098,0.479,596,1
0.247,0.441,0.641,892,1
0.292,0.194,0.489,13,0
0.374,0.144,0.09,187,1
0.038,0.121,-0.661,482,0
0.074,-0.082,0.895,712,1
0.345,0.108,0.833,619,1
0.358,0.102,-0.173,12,1
-0.051,0.227,0.717,729,1
0.095,0.315,-0.487,514,1
0.126,0.235,0.59,95,0
0.1,0.202,0.271,217,0
0.481,0.169,0.781,620,1
-0.536,0.301,-0.318,480,0
0.025,-0.067,0.202,381,0
0.269,0.133,0.48,80,0
0.249,-0.078,0.316,110,1
0.378,-0.176,-0.085,317,1
0.277,0.224,0.568,88,0
0.104,-0.137,0.096,810,1
0.106,0.106,0.586,366,0
0.342,0.328,0.179,323,1
0.206,-0.222,0.915,100,0
0.124,0.288,0.013,515,1
0.26,-0.007,-0.035,601,1
0.047,0.138,0.219,166,0
-0.408,0.196,0.831,906,1
0.464,0.165,0.891,145,1
0.221,-0.018,0.77,747,1
0.118,-0.089,-0.007,788,1
-0.086,0.395,0.099,877,1
0.44,0.153,0.258,730,1
0.245,-0.096,0.441,77,0
0.598,-0.488,-0.226,100,1
0.256,-0.004,0.646,993,1
-0.075,0.225,-0.512,511,1
0.416,0.197,0.517,287,1
0.128,-0.066,0.127,73,0
0.232,-0.053,-0.003,898,1
0.239,-0.324,0.624,963,1
0.477,0.282,1.067,411,1
0.346,-0.134,0.601,697,1
0.398,0.239,0.853,383,1
-0.412,0.279,0.507,461,0
0.522,-0.114,-0.117,759,1
-0.096,0.178,-0.3,575,1
0.787,0.12,0.241,409,1
0.37,0.186,0.074,896,1
0.071,0.121,-0.261,922,1
0.292,0.14,0.125,185,0
0.789,-0.124,0.33,337,1
0.001,0.268,0.444,619,1
-0.265,0.127,-0.02,40,0
0.236,0.206,0.229,219,0
0.599,0.153,-0.386,371,1
0.681,0.236,-0.775,219,1
0.769,0.234,0.88,277,1
0.067,0.098,0.549,146,1
-0.009,0.195,0.109,538,1
-0.39,0.195,1.124,189,0
0.74,0.336,-0.066,169,1
0.62,0.251,1.205,494,1
-0.253,0.147,0.629,364,0
0.592,-0.236,-0.018,575,1
0.283,-0.164,0.824,632,1
0.409,0.282,0.766,844,1
0.659,-0.023,0.271,155,1
-0.061,0.471,-0.264,512,1
0.297,0.026,0.701,534,1
0.143,-0.003,-0.874,966,1
0.277,0.01,-0.703,100,1
0.448,0.097,0.042,714,1
0.027,0.066,0.034,976,1
0.393,0.209,0.863,979,1
0.748,0.133,1.148,515,1
0.265,0.143,0.113,512,1
0.004,-0.078,-0.015,556,1
0.349,-0.383,0.786,344,1
0.341,0.181,0.075,610,1
0.281,0.212,0.665,292,0
0.079,-0.099,0.185,948,1
0.608,0.176,0.198,90,1
0.248,0.012,-0.026,422,1
-0.135,0.1,-0.259,558,1
0.463,0.227,0.21,297,1
0.162,0.182,0.078,796,1
-0.082,0.155,0.451,128,0
0.518,0.161,-0.13,930,1
0.4,-0.182,0.297,384,1
0.163,0.148,-0.166,275,0
0.148,0.48,0.416,248,1
-0.098,0.143,0.244,27,0
-0.189,0.361,0.531,344,0
-0.167,-0.091,0.114,570,1
0.394,0.078,-0.163,821,1
-0.244,0.293,0.124,962,1
-0.341,-0.316,0.699,530,1
0.777,0.179,0.543,728,1
0.312,-0.125,-0.175,864,1
-0.186,0.134,-0.589,858,1
-0.491,-0.059,0.351,448,1
0.327,0.114,0.071,633,1
0.022,-0.334,0.646,761,1
0.34,0.043,-0.84,650,1
0.009,-0.038,0.355,305,0
0.84,0.273,-0.243,827,1
0.316,-0.234,0.127,958,1
-0.003,0.127,0.368,594,1
0.298,0.028,0.484,146,0
0.132,0.17,0.191,507,1
0.571,-0.266,0.348,815,1
0.333,0.177,0.322,983,1
0.055,0.002,-0.436,649,1
0.504,0.405,-0.096,185,1
0.004,0.512,-0.004,876,1
-0.157,0.635,0.514,356,0
-0.085,-0.065,0.658,949,1
0.614,0.297,0.678,549,1
0.555,0.135,0.763,118,1
0.693,0.139,0.242,142,1
0.291,0.417,0.593,494,0
0.113,0.363,0.643,668,1
0.064,0.418,-0.179,410,0
0.209,0.1,0.566,867,1
0.385,-0.006,-0.114,785,1
0.448,-0.003,0.174,211,1
0.532,0.034,0.611,766,1
-0.011,0.076,0.647,111,0
-0.151,0.211,-0.098,66,0
0.502,0.487,-0.345,260,1
-0.014,0.013,0.567,989,1
-0.183,-0.098,0.223,118,0
-0.034,0.418,0.203,673,1
0.291,0.023,0.462,322,1
0.181,0.127,0.087,815,1
0.495,0.037,0.562,68,1
-0.106,0.279,0.116,285,0
0.176,0.443,0.06,688,1
0.765,0.291,-0.292,326,1
0.438,0.152,0.055,51,1
0.315,-0.122,0.718,128,1
0.181,-0.159,0.459,606,1
-0.091,0.276,0.175,877,1
0.621,0.083,0.282,473,1
0.077,0.475,-0.397,941,1
0.566,-0.079,0.238,17,1
0.322,0.138,0.508,282,1
-0.255,0.025,0.636,82,0
0.04,0.354,-0.184,466,0
0.488,-0.178,-0.381,864,1
-0.092,0.298,0.423,11,1
0.217,0.497,0.268,742,1
0.032,0.148,0.612,378,0
