study_hours,attendance,sleep_hours,prev_grade,final_grade
3.9,92,7.0,82,86
8.6,68,4.8,60,71
7.5,85,6.5,60,87
8.7,51,4.0,90,74
1.6,56,6.5,71,59
0.4,48,5.4,78,46
5.0,57,9.4,86,77
0.1,63,8.3,91,64
6.1,61,4.0,70,67
2.0,49,6.0,82,44
8.6,87,7.0,73,83
5.9,99,7.7,67,86
7.7,86,8.8,69,93
2.9,88,6.7,58,64
3.3,66,7.5,90,80
4.2,69,9.5,78,79
5.7,99,5.9,77,82
8.9,94,4.2,54,83
6.7,77,5.5,56,74
2.2,92,6.7,65,67
0.0,43,9.8,91,61
9.0,100,6.5,72,85
8.7,86,8.8,80,95
6.6,71,9.9,53,68
5.3,75,5.7,47,70
3.9,86,6.0,74,62
6.6,40,8.1,45,59
4.8,46,4.8,87,67
7.3,50,7.9,82,77
4.3,86,5.0,46,65
7.7,58,5.9,74,71
0.8,49,9.2,94,57
9.4,55,4.4,89,83
9.7,47,8.6,61,67
1.2,89,9.0,74,68
6.7,57,8.7,62,73
7.9,62,5.1,91,84
7.3,98,9.5,91,100
9.7,89,4.5,44,80
5.2,84,7.2,70,80
9.9,88,7.8,41,81
7.6,46,8.8,89,85
8.1,53,5.0,79,68
7.5,44,9.9,87,75
2.3,82,9.6,89,68
3.9,81,6.2,42,61
0.4,52,4.0,62,50
3.7,61,6.5,93,71
0.1,60,9.2,45,51
5.2,89,4.7,48,67
4.7,75,10.0,86,82
8.1,90,9.0,60,84
2.5,74,8.9,58,67
9.4,82,9.8,48,87
7.0,92,6.3,49,74
9.8,73,6.2,71,94
3.1,59,6.4,41,56
7.1,95,4.8,73,80
6.0,94,4.6,47,72
3.3,96,4.7,76,73
2.1,91,4.5,43,53
5.5,74,9.5,45,80
8.1,75,9.6,95,92
5.5,59,4.6,65,58
7.5,42,5.9,66,70
7.4,48,4.4,77,70
0.0,97,6.9,70,65
1.1,50,7.5,75,51
9.0,55,4.5,50,71
7.0,46,7.8,41,72
4.7,86,8.2,50,70
6.8,55,9.9,40,59
6.8,96,5.6,90,86
4.9,55,4.4,53,46
6.1,64,5.2,73,69
9.7,66,9.5,58,87
2.7,79,9.1,47,63
6.1,40,9.9,65,65
5.9,87,5.5,48,61
5.8,82,5.5,85,74
0.4,55,8.5,86,65
9.7,57,9.8,76,90
0.0,53,8.3,93,58
3.4,68,4.9,86,61
6.5,47,9.2,60,74
5.2,57,6.7,52,61
8.6,49,5.2,62,72
9.5,55,6.9,57,82
4.4,56,4.0,69,63
8.3,87,6.8,58,89
2.0,47,9.3,49,52
7.7,70,8.7,73,86
0.7,69,6.1,81,59
8.6,93,6.9,64,90
2.7,70,5.3,48,57
4.9,54,9.9,75,73
5.1,99,4.9,57,70
6.9,57,9.2,73,72
8.0,87,6.4,44,66
2.4,58,5.5,55,47
7.6,82,9.6,94,88
5.3,51,7.8,73,62
0.0,41,6.0,84,50
3.4,70,5.2,46,50
7.3,86,8.6,56,80
2.0,65,8.0,78,61
5.7,62,4.6,70,58
3.2,94,6.0,70,63
7.6,74,6.0,54,67
6.9,46,7.4,48,66
2.3,95,4.3,69,50
0.7,83,9.9,75,77
4.4,48,5.3,53,54
2.6,98,7.5,47,68
9.9,81,7.5,68,91
9.2,79,4.7,91,86
2.5,78,7.2,80,72
4.8,57,7.2,82,69
7.6,86,4.0,93,68
8.0,96,6.0,45,79
5.0,54,9.5,57,75
9.3,88,6.7,84,92
1.6,87,4.6,80,57
1.9,92,4.9,87,65
0.5,51,5.2,53,44
0.6,68,5.4,48,51
0.3,86,9.5,53,55
7.6,93,8.1,49,87
6.9,93,9.4,70,86
0.4,51,8.1,66,54
1.1,88,4.9,44,54
2.3,92,5.0,85,71
5.2,75,9.3,73,89
9.0,98,7.5,61,86
8.9,50,9.0,78,76
9.5,67,5.0,93,85
7.9,57,5.9,78,77
7.7,41,5.2,58,71
3.8,74,6.8,45,62
6.9,97,4.3,87,82
7.0,100,9.1,75,80
5.8,87,8.9,43,75
5.2,74,9.3,91,91
5.1,78,7.3,44,74
2.4,75,4.5,73,56
3.3,48,9.0,42,53
4.3,94,9.0,48,74
6.4,73,4.9,68,67
0.7,86,7.8,45,56
1.6,57,10.0,61,55
0.3,88,4.1,41,49
8.6,86,4.2,60,70
1.6,87,8.8,77,78
4.8,91,4.6,90,81
8.9,81,6.2,90,81
0.3,49,9.9,60,43
3.8,47,8.8,72,59
2.6,45,7.3,49,43
6.0,76,7.2,58,61
0.8,51,8.9,58,53
5.0,90,4.3,64,63
4.7,42,7.6,40,55
6.6,96,5.5,62,76
7.2,57,7.2,65,70
3.8,47,5.4,49,52
9.9,63,8.0,63,77
3.1,50,8.7,64,60
0.4,70,4.3,53,40
2.4,78,9.1,75,66
10.0,89,7.7,80,97
9.5,94,9.5,51,92
8.0,99,4.7,65,83
2.5,73,4.7,75,68
2.6,86,5.6,94,68
6.4,75,9.7,71,85
