alcohol,malic_acid,ash,flavanoids,class
14.37,2.58,2.37,3.23,1
14.44,2.03,2.41,2.69,1
12.36,1.99,2.32,2.56,0
12.81,1.75,2.49,2.76,0
15.19,2.75,2.48,1.38,2
16.11,3.09,2.45,2.01,2
14.39,2.35,2.44,3.03,1
14.51,2.05,2.39,2.83,1
14.5,1.82,2.4,2.96,0
11.9,2.02,2.39,2.86,0
14.94,3.29,2.28,1.64,2
12.05,2.36,2.54,1.83,1
13.54,2.2,2.31,2.01,1
14.64,3.02,2.56,2.67,2
13.24,2.66,2.4,3.03,1
12.32,2.06,2.52,3.51,0
16.15,3.45,2.51,1.16,2
14.5,3.12,2.37,2.58,2
15.28,2.69,2.39,2.94,1
14.31,2.21,2.4,2.67,1
13.9,2.23,2.44,2.11,1
14.29,3.1,2.23,2.3,1
14.04,1.87,2.33,3.6,0
13.16,1.98,2.27,3.6,0
15.16,2.23,2.26,2.26,1
15.24,3.36,2.59,1.91,2
14.37,2.33,2.47,1.46,1
13.13,2.7,2.4,2.58,1
13.03,1.63,2.22,2.99,0
13.37,2.21,2.42,3.85,0
14.3,2.11,2.44,2.55,0
14.89,2.86,2.39,2.71,1
11.75,1.99,2.4,2.9,0
15.53,2.64,2.49,2.67,2
14.37,2.88,2.37,2.91,1
14.97,2.75,2.36,2.06,2
14.31,2.87,2.34,2.15,2
13.15,2.37,2.5,2.16,1
11.13,2.64,2.37,1.78,0
14.81,2.68,2.38,1.95,2
12.14,2.11,2.47,3.27,0
13.8,1.24,2.45,3.17,0
13.72,2.43,2.24,3.05,1
14.83,2.62,2.42,2.85,2
12.88,2.76,2.41,2.38,1
14.25,2.88,2.55,2.03,2
15.28,2.64,2.34,2.67,2
13.11,2.58,2.25,2.22,1
15.33,3.07,2.37,1.54,2
13.7,2.42,2.45,3.46,0
13.82,2.08,2.49,3.79,0
15.04,2.97,2.39,2.53,1
12.39,2.1,2.53,2.65,0
14.26,3.57,2.34,1.88,2
13.46,2.47,2.28,1.98,1
14.28,2.79,2.42,2.43,2
14.71,2.42,2.48,2.46,2
14.83,2.52,2.42,2.65,1
12.8,2.18,2.36,2.42,0
14.93,2.74,2.37,2.4,1
14.47,2.92,2.24,1.17,2
13.62,3.15,2.26,2.86,1
13.42,2.29,2.4,3.12,1
15.31,3.38,2.46,2.21,2
12.97,2.14,2.44,2.36,0
13.34,2.95,2.33,2.28,1
15.82,2.68,2.34,2.05,2
13.35,1.99,2.42,2.73,0
12.98,2.0,2.63,3.62,0
12.14,1.98,2.35,2.62,0
15.04,2.78,2.26,2.54,2
14.32,3.04,2.28,1.92,2
16.09,2.37,2.58,1.68,2
15.53,3.25,2.26,2.28,2
13.6,2.15,2.31,2.68,1
14.05,1.56,2.41,2.54,0
14.23,2.87,2.64,2.48,1
12.69,3.0,2.47,2.49,1
13.92,2.49,2.38,2.71,1
14.82,2.32,2.48,2.53,1
14.86,3.34,2.55,2.21,2
13.96,2.6,2.38,2.45,1
17.47,2.55,2.32,1.57,2
14.0,2.07,2.36,2.43,1
15.67,2.61,2.49,3.17,1
14.32,2.28,2.48,3.37,0
15.33,3.05,2.12,1.61,2
12.27,1.59,2.33,3.65,0
14.39,2.39,2.56,2.43,1
12.11,2.43,2.24,3.04,1
15.49,3.07,2.4,1.72,2
14.75,2.66,2.39,2.83,1
14.04,3.23,2.53,1.0,2
13.89,2.78,2.33,3.04,1
16.58,3.36,2.59,2.59,2
12.93,1.81,2.18,2.3,0
13.14,1.8,2.37,3.15,0
15.64,2.91,2.3,0.92,2
12.98,1.51,2.36,3.45,0
14.19,2.65,2.37,2.83,1
12.92,2.2,2.48,2.95,0
13.92,2.85,2.32,2.28,1
13.51,2.92,2.38,1.72,2
14.25,3.25,2.44,2.75,2
13.26,2.14,2.38,2.94,1
13.75,2.84,2.39,2.6,2
12.95,2.34,2.45,3.05,0
14.38,2.75,2.31,2.09,2
14.23,3.28,2.55,2.16,2
13.91,3.5,2.46,2.48,2
13.78,2.39,2.47,2.28,1
12.72,2.35,2.27,2.76,1
14.24,2.85,2.25,2.56,2
13.82,2.1,2.3,2.56,1
14.61,1.89,2.42,1.93,0
15.66,3.2,2.38,2.65,2
15.94,3.06,2.58,1.51,2
15.5,2.93,2.56,1.86,2
12.27,1.55,2.44,3.07,0
13.28,1.68,2.4,3.02,0
13.15,2.18,2.38,3.3,0
11.82,2.19,2.47,3.52,0
14.47,2.51,2.5,2.87,1
13.44,1.87,2.31,1.68,1
